course_crn,full_name,short_name,prerequisites
25790,,ADMN-1010,
29356,,ADMN-1030,
29809,,ADMN-1100,
29416,,ADMN-1824,
26559,,ADMN-1961,
27433,,ADMN-6700,
27434,,ADMN-6800,
28044,The Ethos of Architecture,ARCH-2150,[]
28045,Architectural Media,ARCH-2160,[]
25914,Structures 1,ARCH-2330,['ARCH-2510']
26528,Construction Systems,ARCH-2350,['ARCH-2510']
28046,Materials and Design,ARCH-2510,[]
28101,Digital Constructs 1,ARCH-2520,[]
28292,Digital Constructs 3,ARCH-2540,['ARCH-2530']
28074,Architectural Design Studio 1,ARCH-2800,[]
28293,Architectural Design Studio 3,ARCH-2820,['ARCH-2810']
28588,Building Performance Studio 2,ARCH-2860,['ARCH-2850']
28041,Bedford Architecture Engineering Seminar,ARCH-4020,['ARCH-2330']
28836,Cities and Their Territories,ARCH-4050,['ARCH-4100']
29197,"Cloud Atlas: 20th Century Architecture, Culture and Civilization",ARCH-4120,['ARCH-4100']
29198,,ARCH-4170,
30493,,ARCH-4200,
28589,Structures 2,ARCH-4330,"['ARCH-2510', 'ARCH-2350', 'ARCH-2330']"
28856,Construction Industry Seminar 1,ARCH-4510,"['ARCH-2360', 'ARCH-4550', 'ARCH-4740']"
25686,Professional Practice 1,ARCH-4540,[]
28300,Professional Practice 2,ARCH-4550,[]
28590,Materials and Enclosures,ARCH-4560,"['ARCH-2510', 'ARCH-2350']"
29199,,ARCH-4580,
28302,Architectural Design Studio 5,ARCH-4770,['ARCH-2830']
28591,Architectural Design Studio 6,ARCH-4780,['ARCH-4770']
28839,Architectural Design Studio 7,ARCH-4790,['ARCH-4780']
28594,Integrated Design Schematic,ARCH-4820,['ARCH-2830']
28843,Integrated Design Development,ARCH-4830,['ARCH-4820']
25902,Architectural Acoustics 1,ARCH-4840,[]
27179,Applied Psychoacoustics,ARCH-4860,[]
28898,Engineering Acoustics,ARCH-4890,[]
28596,Final Project Design Research Seminar,ARCH-4910,"['ARCH-4780', 'ARCH-4830']"
29236,,ARCH-4956,
30374,,ARCH-4957,
29204,,ARCH-4958,
29677,,ARCH-4959,
28600,,ARCH-4961,
29605,,ARCH-4963,
28844,,ARCH-4964,
29203,,ARCH-4965,
28601,,ARCH-4968,
28311,"History, Theory, Criticism 1",ARCH-5100,[]
28313,Structures 1,ARCH-5140,[]
28329,Structures 2,ARCH-5150,['ARCH-5140']
29612,Digital Constructs 1,ARCH-5160,[]
